passenger_id,gender,missing_last_name_flag,age_band
P1000,F,False,46-60
P1001,M,False,<18
P1002,M,False,60+
P1003,F,False,60+
P1004,M,False,18-25
P1005,M,False,60+
P1006,M,False,60+
P1007,M,False,60+
P1008,M,False,60+
P1009,M,False,60+
P1010,M,False,18-25
P1011,M,False,<18
P1012,M,False,18-25
P1013,M,False,46-60
P1014,F,False,<18
P1015,F,False,60+
P1016,M,False,26-35
P1017,F,False,36-45
P1018,F,False,<18
P1019,M,False,60+
P1020,M,False,46-60
P1021,M,False,18-25
P1022,F,False,26-35
P1023,F,False,60+
P1024,M,False,46-60
P1025,M,False,18-25
P1026,M,False,60+
P1027,F,False,46-60
P1028,F,False,46-60
P1029,F,False,36-45
P1030,F,False,46-60
P1031,M,False,60+
P1032,M,False,<18
P1033,M,False,60+
P1035,F,False,46-60
P1036,F,False,60+
P1037,M,False,46-60
P1038,M,False,46-60
P1039,F,False,60+
P1040,M,False,<18
P1041,F,False,46-60
P1042,M,False,<18
P1043,M,False,18-25
P1044,M,False,60+
P1045,M,False,36-45
P1046,M,False,<18
P1047,M,False,<18
P1048,M,False,60+
P1049,F,False,46-60
P1050,F,False,<18
P1051,F,False,<18
P1052,F,False,46-60
P1053,F,False,<18
P1054,M,False,60+
P1055,M,False,46-60
P1056,F,False,60+
P1057,M,False,36-45
P1058,F,False,<18
P1059,F,False,46-60
P1060,M,False,26-35
P1061,M,False,60+
P1062,M,False,60+
P1063,F,False,36-45
P1064,M,False,46-60
P1065,F,False,<18
P1066,F,False,<18
P1067,F,False,<18
P1068,M,False,46-60
P1069,M,False,<18
P1070,F,False,46-60
P1071,M,False,60+
P1072,M,False,<18
P1073,M,False,36-45
P1074,F,False,26-35
P1075,F,False,60+
P1076,M,False,60+
P1077,F,False,<18
P1078,M,False,46-60
P1079,M,False,<18
P1080,M,False,60+
P1081,M,False,60+
P1082,F,False,60+
P1083,F,False,60+
P1084,F,False,36-45
P1085,M,False,60+
P1086,M,False,60+
P1087,M,False,60+
P1088,F,False,46-60
P1089,M,False,18-25
P1090,F,False,26-35
P1091,F,False,60+
P1092,F,False,46-60
P1093,F,False,36-45
P1094,F,False,26-35
P1095,F,False,<18
P1096,M,False,36-45
P1097,M,False,60+
P1098,F,False,60+
P1099,F,False,60+
P1100,M,False,<18
P1101,F,False,60+
P1103,M,False,<18
P1105,F,False,60+
P1106,F,False,<18
P1107,M,False,60+
P1109,M,False,26-35
P1110,F,False,26-35
P1111,F,False,26-35
P1112,M,False,<18
P1113,F,False,36-45
P1114,F,False,26-35
P1115,F,False,<18
P1116,F,False,60+
P1117,F,False,60+
P1118,M,False,<18
P1119,F,False,26-35
P1120,M,False,26-35
P1121,F,False,46-60
P1122,M,False,18-25
P1123,F,False,60+
P1124,M,False,60+
P1125,F,False,36-45
P1126,M,False,36-45
P1127,F,False,60+
P1128,M,False,26-35
P1129,F,False,60+
P1130,M,False,46-60
P1131,M,False,60+
P1132,F,False,<18
P1133,F,False,<18
P1134,M,False,<18
P1135,F,False,<18
P1136,M,False,26-35
P1137,M,False,<18
P1138,M,False,60+
P1139,F,False,<18
P1142,F,False,46-60
P1143,F,False,60+
P1144,F,False,46-60
P1145,F,False,<18
P1146,M,False,18-25
P1147,M,False,<18
P1148,M,False,36-45
P1149,M,False,26-35
P1150,F,False,36-45
P1151,M,False,<18
P1152,M,False,26-35
P1153,F,False,60+
P1154,M,False,46-60
P1155,M,False,60+
P1156,M,False,26-35
P1157,M,False,60+
P1158,M,False,36-45
P1159,M,False,36-45
P1160,F,False,60+
P1161,F,False,46-60
P1162,M,False,<18
P1163,M,False,26-35
P1164,F,False,26-35
P1165,M,False,36-45
P1166,M,False,60+
P1167,M,False,26-35
P1168,F,False,60+
P1169,M,False,60+
P1170,F,False,60+
P1171,M,False,60+
P1172,F,False,<18
P1173,F,False,26-35
P1174,M,False,60+
P1175,F,False,60+
P1176,M,False,<18
P1177,F,False,60+
P1179,M,False,26-35
P1180,F,False,<18
P1181,M,False,60+
P1182,M,False,36-45
P1183,F,False,46-60
P1184,M,False,36-45
P1185,M,False,18-25
P1186,F,False,60+
P1187,F,False,46-60
P1188,M,False,26-35
