route,source,destination
CCU → MAA,CCU,MAA
BOM → CCU,BOM,CCU
MAA → BOM,MAA,BOM
DEL → HYD,DEL,HYD
BOM → HYD,BOM,HYD
BLR → BOM,BLR,BOM
DEL → BLR,DEL,BLR
BOM → DEL,BOM,DEL
DEL → MAA,DEL,MAA
DEL → BOM,DEL,BOM
MAA → DEL,MAA,DEL
CCU → DEL,CCU,DEL
HYD → DEL,HYD,DEL
HYD → MAA,HYD,MAA
HYD → CCU,HYD,CCU
BOM → MAA,BOM,MAA
HYD → BOM,HYD,BOM
DEL → CCU,DEL,CCU
MAA → HYD,MAA,HYD
CCU → HYD,CCU,HYD
MAA → CCU,MAA,CCU
CCU → BLR,CCU,BLR
MAA → BLR,MAA,BLR
HYD → BLR,HYD,BLR
BLR → CCU,BLR,CCU
BOM → BLR,BOM,BLR
BLR → MAA,BLR,MAA
CCU → BOM,CCU,BOM
BLR → HYD,BLR,HYD
BLR → DEL,BLR,DEL
