flight_event_key,flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,flight_duration_minutes,calculated_duration_minutes,source_duration_minutes,duration_difference,overnight_flag,duplicate_flight_id_flag,invalid_flight_id_flag,missing_airline_flag,missing_source_flag,missing_destination_flag,missing_departure_time_flag,missing_arrival_time_flag,timestamp_order_flag,sj192_anomaly_flag,duration_anomaly_flag,duration_discrepancy_flag,referential_integrity_flag,duration_kpi_eligible_flag,anomaly_flag,anomaly_reason
SpiceJet|SJ010|CCU|MAA|2026-04-20 23:38:41.701,SJ010,SpiceJet,CCU,MAA,CCU → MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,2026-04-20,174.0,174.0,174.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI155|BOM|CCU|2026-04-20 23:35:41.703,AI155,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,2026-04-20,108.0,108.0,108.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK094|BOM|CCU|2026-04-20 23:26:41.702,UK094,Vistara,BOM,CCU,BOM → CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,2026-04-20,105.0,105.0,105.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI245|BOM|CCU|2026-04-20 23:07:41.704,AI245,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,2026-04-20,156.0,156.0,156.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI192|MAA|BOM|2026-04-20 23:05:41.703,AI192,Air India,MAA,BOM,MAA → BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,2026-04-20,299.0,299.0,299.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ158|DEL|HYD|2026-04-20 23:05:41.703,SJ158,SpiceJet,DEL,HYD,DEL → HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,2026-04-20,139.0,139.0,139.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F196|CCU|MAA|2026-04-20 23:04:41.703,6F196,IndiGo,CCU,MAA,CCU → MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,2026-04-20,103.0,103.0,103.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI080|BOM|HYD|2026-04-20 23:03:41.702,AI080,Air India,BOM,HYD,BOM → HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,2026-04-20,92.0,92.0,92.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F025|BLR|BOM|2026-04-20 23:02:41.701,6F025,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,2026-04-20,55.0,55.0,55.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F251|DEL|BLR|2026-04-20 22:56:41.703,6F251,IndiGo,DEL,BLR,DEL → BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,2026-04-20,41.0,41.0,41.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI137|BOM|DEL|2026-04-20 22:49:41.702,AI137,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,2026-04-20,148.0,148.0,148.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F026|BOM|CCU|2026-04-20 22:46:42.000,6F026,IndiGo,BOM,CCU,BOM → CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,2026-04-20,267.0,267.0,267.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK167|DEL|MAA|2026-04-20 22:45:41.703,UK167,Vistara,DEL,MAA,DEL → MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,2026-04-20,181.0,181.0,181.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK027|BOM|CCU|2026-04-20 22:44:41.701,UK027,Vistara,BOM,CCU,BOM → CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,2026-04-20,141.0,141.0,141.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
